Geschlecht	Alter	GebMonat	Herkunft	Kgroesse	Kgewicht	MonMiete	Rauchen	ZufZiffer	AnzGeschw	GeschGrDoz
M	21	1	Luzern	173	63	460	0	7	2	175
W	20	2	Neuenburg	175	62	550	2	7	1	174
M	24	3	Bern	180	65	700	0	7	1	175
W	32	2	Bern	175	68	700	0	3	1	177
M	20	9	Bern	168	62	0	0	7	2	180
M	22	5	Russland	190	70	550	1	7	1	175
M	20	6	Luzern	178	72	562.5	0	4	1	176
M	20	7	Luzern	183	73	550	2	6	1	175
M	21	7	Bern	182	70	0	0	7	2	175
W	19	1	Vaud	178	63	0	0	5	3	170
W	19	3	Bern	163	53	0	0	8	2	170
M	21	7	Mazedonien	180	85	1117	1	7	3	175
W	20	9	Solothurn	173	56	0	0	7	1	182
W	19	8	Bern	160	51	0	0	2	0	175
M	24	8	Slowakei	192	83	1035	0	8	2	177
M	23	4	Bern	178	71	0	0	6	2	180
M	21	1	Graubuenden	173	72	430	0	7	1	175
W	20	2	Solothurn	164	60	0	2	4	1	176
W	20	6	Solothurn	164	52	0	0	7	0	175
M	21	4	Deutschland	180	82	500	2	6	1	182
W	25	1	Bern	185	75	860	1	4	1	175
M	21	9	Solothurn	173	60	0	0	4	3	175
M	21	6	Solothurn	187	70	0	1	8	2	178
M	21	7	Solothurn	182	75	0	1	7	2	176
M	19	11	Luzern	178	NA	600	0	8	1	172
M	20	9	Luzern	189	76	1160	0	8	2	181
M	21	6	Bern	174	74	600	0	8	1	175
M	20	6	Bern	187	78	0	0	7	3	172
W	20	7	Bern	173	58	1200	0	2	2	173
M	20	8	Zuerich	184	75	0	0	6	1	174
W	24	8	Bern	160	NA	580	0	8	1	178
M	23	8	Bern	174	60	525	2	3	1	175
W	19	2	Bern	NA	57	0	0	4	1	175
M	21	3	Bern	182	67	0	0	6	2	174
M	20	4	Solothurn	187	78	0	0	2	1	175
M	21	7	Solothurn	175	70	0	0	6	2	172
M	19	10	Solothurn	175	67	0	1	6	2	170
M	21	3	Solothurn	174	66	0	0	7	1	175
W	22	9	Solothurn	166	53	0	0	6	3	180
M	19	8	Deutschland	187	75	1700	0	6	2	175
W	21	6	Zuerich	173	55	580	0	9	2	180
M	21	5	Solothurn	174	68	0	0	2	1	175
M	21	5	Solothurn	180	74	0	0	3	2	178
W	28	5	Aargau	171	60	420	0	5	2	175
W	19	12	Aargau	169	51	380	0	7	1	178
W	21	11	Luzern	163	55	0	0	3	3	175
W	20	6	Luzern	166	68	600	0	3	1	180
W	22	6	Bern	173	54	0	1	4	2	187
W	21	11	Luzern	168	52	550	0	7	1	178
M	21	10	Bern	183	78	0	0	9	1	178
W	20	6	Solothurn	172	55	850	1	8	1	181
M	21	8	Aargau	177	76	560	2	9	1	175
M	20	5	Aargau	183	82	330	0	8	2	174
W	20	2	Unterwalden	160	55	560	0	3	2	175
W	20	8	Bern	163	60	0	1	7	1	177
M	19	10	Portugal	170	68	0	0	9	1	170
W	20	10	Uri	160	53	520	0	3	3	175
W	19	4	Spanien	168	57	0	2	4	0	179
W	19	3	Bern	168	58	790	0	9	2	181
W	21	7	Schwyz	170	58	580	0	4	1	180
W	18	3	Bern	161	50	0	1	6	3	182
W	21	7	Aargau	157	46	500	1	7	3	180
M	21	4	Zuerich	170	65	560	0	3	0	175
M	20	8	Basel	178	72	420	1	7	0	175
W	18	2	Solothurn	169	66	0	2	8	1	178
W	20	4	NA	173	75	0	0	4	2	175
M	21	12	Bern	170	68	0	0	0	1	173
M	20	6	Bern	175	68	0	0	5	3	174
M	42	7	Bern	173	72	1150	0	4	3	172
M	31	8	Luzern	178	72	650	0	3	1	177
M	24	1	Bern	183	70	500	0	8	2	175
W	24	10	Bern	170	54	1100	2	7	2	181
W	26	10	Bern	173	61	1088	2	7	2	178
W	19	6	Bern	162	53	0	0	6	2	180
W	20	11	Aargau	NA	NA	650	2	7	1	179
M	21	9	Bern	181	77	0	0	7	2	173
W	19	5	Bern	164	49	0	0	9	1	175
M	22	2	Bern	180	65	250	0	0	4	172
W	20	8	Indien	160	58	0	0	8	1	170
M	22	3	Bern	177	65	0	2	7	2	176
M	20	6	Bern	183	68	0	0	7	3	182
M	20	10	Bern	174	70	600	0	3	1	186
W	20	6	Zuerich	158	58	440	0	9	3	175
M	20	8	Luzern	187	78	590	2	7	1	184
M	21	10	Luzern	175	69	400	1	3	2	182
M	25	2	Bern	177	70	690	0	7	1	176
M	21	6	Graubuenden	165	62	420	1	7	1	180
W	20	10	Ungarn	168	57	0	0	5	3	175
W	21	4	Graubuenden	168	60	700	1	6	1	177
M	19	9	Bern	175	71	0	0	7	1	178
M	25	5	Bern	178	72	220	0	7	0	180
M	19	11	Bern	191	80	0	0	3	2	175
M	19	12	Bern	175	68	325	1	7	1	180
M	20	3	Luzern	189	75	320	0	7	2	183
W	22	1	Bern	170	49	500	0	5	2	183
W	20	1	Solothurn	167	54	0	0	1	1	176
W	20	3	Solothurn	176	70	0	2	8	2	177
M	21	8	St.Gallen	176	65	625	0	8	2	175
W	23	7	Bern	168	64	0	0	6	2	180
M	20	6	Deutschland	188	80	350	0	8	2	175
M	20	1	Bern	183	60	0	0	3	4	175
W	20	8	Basel	165	51	0	0	8	1	179
M	35	3	Italien	187	66	492	1	6	2	176
W	21	2	Bern	170	52	0	0	5	1	170
M	19	7	Deutschland	180	70	0	2	3	1	170
M	19	5	Zuerich	168	68	0	0	6	2	180
M	21	3	Solothurn	183	103	0	0	3	0	178
M	22	4	Aargau	182	65	380	0	3	2	179
W	22	3	Weissrussland	176	60	0	0	7	4	167
W	22	12	Rumaenien	173.5	74	440	0	7	2	163
W	28	7	Bern	158	61	531	1	5	4	175
M	22	10	Bern	190	83	0	1	4	1	175
M	19	2	Bern	176	70	0	0	7	1	175
W	21	7	Bern	170	75	0	2	8	0	180
W	22	4	Bern	173	55	0	1	3	1	178
W	22	11	Bern	180	64	0	0	7	2	172
W	20	6	Aargau	175	58	650	1	7	1	176
W	19	1	Bern	174	NA	0	1	4	2	178
M	23	10	Aargau	178	84	670	0	8	2	176
M	30	9	Solothurn	173	65	666	2	5	1	177
W	23	11	Bern	168	62	0	1	7	3	175
W	25	1	Oesterreich	168	52	600	1	8	2	175
W	29	2	Freiburg	168	53	450	0	4	2	172
W	20	9	Bern	170	62	0	0	7	1	178
W	22	10	Bern	170	60	500	1	8	1	180
W	23	4	Bern	170	53	1300	0	6	3	180
M	37	2	Zug	188	80	750	0	6	5	174
M	28	1	Bern	180	75	800	0	1	1	180
M	20	5	Bern	184	88	920	0	7	1	175
M	19	8	Valais	172	61	0	0	7	3	175
M	18	6	Deutschland	186	70	0	0	8	0	173
W	21	10	Solothurn	166	59	0	0	5	1	180
M	20	3	Bern	176	72	0	0	3	0	181
W	21	5	Bern	170	64	300	2	4	2	178
W	24	6	Slowenien	170	53	960	2	3	1	175
M	23	9	Bern	183	70	NA	0	6	1	185
W	31	7	NA	174	65	2000	2	7	0	168
M	26	8	Deutschland	178	78	1400	0	8	1	180
W	24	10	Tschechien	160	49	0	0	1	1	174
